,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
1,MDLA,2020-07-31,-34516000,2020-07-31,767131000.0,2020-07-31,436103000.0,2020-07-31,
2,MDLA,2020-04-30,-32764000,2020-04-30,741916000.0,2020-04-30,423521000.0,2020-04-30,
3,MDLA,2020-01-31,-28766000,2020-01-31,731649000.0,2020-01-31,397796000.0,2020-01-31,-2315000.0
0,BLK,2020-12-31,1848000000,2020-12-31,,2020-12-31,33873000000.0,2020-12-31,
1,BLK,2020-09-30,1757000000,2020-09-30,165118000000.0,2020-09-30,33873000000.0,2020-09-30,-10000000.0
2,BLK,2020-06-30,1416000000,2020-06-30,157342000000.0,2020-06-30,32730000000.0,2020-06-30,-1125000000.0
3,BLK,2020-03-31,709000000,2020-03-31,149020000000.0,2020-03-31,33013000000.0,2020-03-31,-657000000.0
0,GDP,2020-09-30,-11592000,2020-09-30,220433000.0,2020-09-30,51938000.0,2020-09-30,-9000.0
1,GDP,2020-06-30,-7109000,2020-06-30,220130000.0,2020-06-30,67114000.0,2020-06-30,-270000.0
2,GDP,2020-03-31,4869000,2020-03-31,243905000.0,2020-03-31,88508000.0,2020-03-31,-2000.0
3,GDP,2019-12-31,1037000,2019-12-31,239318000.0,2019-12-31,84165000.0,2019-12-31,-1551000.0
0,KOD,2020-09-30,-36663000,2020-09-30,480736000.0,2020-09-30,281780000.0,2020-09-30,
1,KOD,2020-06-30,-26779000,2020-06-30,429368000.0,2020-06-30,309197000.0,2020-06-30,-206000.0
2,KOD,2020-03-31,-25723000,2020-03-31,443042000.0,2020-03-31,327687000.0,2020-03-31,-206000.0
3,KOD,2019-12-31,-16184000,2019-12-31,358866000.0,2019-12-31,345359000.0,2019-12-31,-132000.0
0,YUMC,2020-09-30,301000000,2020-09-30,10386000000.0,2020-09-30,5962000000.0,2020-09-30,
1,YUMC,2020-06-30,139000000,2020-06-30,6963000000.0,2020-06-30,3203000000.0,2020-06-30,
2,YUMC,2020-03-31,89000000,2020-03-31,6577000000.0,2020-03-31,3054000000.0,2020-03-31,-8000000.0
3,YUMC,2019-12-31,56000000,2019-12-31,6950000000.0,2019-12-31,3077000000.0,2019-12-31,-58000000.0
0,CFFI,2020-09-30,0,2020-09-30,2080851000.0,2020-09-30,188388000.0,2020-09-30,
1,CFFI,2020-06-30,0,2020-06-30,1983204000.0,2020-06-30,182726000.0,2020-06-30,
2,CFFI,2020-03-31,0,2020-03-31,1877292000.0,2020-03-31,178702000.0,2020-03-31,-355000.0
3,CFFI,2019-12-31,0,2019-12-31,1657432000.0,2019-12-31,164798000.0,2019-12-31,-107000.0
0,JELD,2020-09-26,90347000,2020-09-26,3853065000.0,2020-09-26,893310000.0,2020-09-26,
1,JELD,2020-06-27,77571000,2020-06-27,3698881000.0,2020-06-27,830602000.0,2020-06-27,-226000.0
2,JELD,2020-03-28,19148000,2020-03-28,3406578000.0,2020-03-28,753768000.0,2020-03-28,-5706000.0
3,JELD,2019-12-31,39329000,2019-12-31,3381332000.0,2019-12-31,812087000.0,2019-12-31,-509000.0
0,KLIC,2020-10-03,15348000,2020-10-03,1054566000.0,2020-10-03,757994000.0,2020-10-03,-7698000.0
1,KLIC,2020-06-27,10971000,2020-06-27,1029465000.0,2020-06-27,749644000.0,2020-06-27,-21657000.0
2,KLIC,2020-03-28,11085000,2020-03-28,1160898000.0,2020-03-28,762398000.0,2020-03-28,-19875000.0
3,KLIC,2019-12-28,13414000,2019-12-28,1118082000.0,2019-12-28,775653000.0,2019-12-28,-5319000.0
0,HMSY,2020-09-30,27200000,2020-09-30,1297099000.0,2020-09-30,911939000.0,2020-09-30,-24000.0
1,HMSY,2020-06-30,5616000,2020-06-30,1271750000.0,2020-06-30,890269000.0,2020-06-30,-125000.0
2,HMSY,2020-03-31,18453000,2020-03-31,1251088000.0,2020-03-31,877847000.0,2020-03-31,-3335000.0
3,HMSY,2019-12-31,27798000,2019-12-31,1244276000.0,2019-12-31,854865000.0,2019-12-31,-18000.0
0,MTSI,2020-10-02,12330000,2020-10-02,1146428000.0,2020-10-02,300146000.0,2020-10-02,-151000.0
1,MTSI,2020-07-03,5946000,2020-07-03,1121127000.0,2020-07-03,273304000.0,2020-07-03,-608000.0
2,MTSI,2020-04-03,-4454000,2020-04-03,1112799000.0,2020-04-03,285731000.0,2020-04-03,-5856000.0
3,MTSI,2020-01-03,-9294000,2020-01-03,1132207000.0,2020-01-03,293520000.0,2020-01-03,-93000.0
0,POLA,2020-09-30,-4713000,2020-09-30,21384000.0,2020-09-30,14826000.0,2020-09-30,
1,POLA,2020-06-30,-2295000,2020-06-30,22513000.0,2020-06-30,15877000.0,2020-06-30,
2,POLA,2020-03-31,-2320000,2020-03-31,23266000.0,2020-03-31,18175000.0,2020-03-31,
3,POLA,2019-12-31,-4675519,2019-12-31,23563215.0,2019-12-31,18376272.0,2019-12-31,-39942.0
0,SVT,2020-09-30,-2261000,2020-09-30,53632000.0,2020-09-30,34768000.0,2020-09-30,
1,SVT,2020-06-30,1272000,2020-06-30,56180000.0,2020-06-30,36467000.0,2020-06-30,
2,SVT,2020-03-31,2444000,2020-03-31,52108000.0,2020-03-31,35415000.0,2020-03-31,-100000.0
3,SVT,2019-12-31,609000,2019-12-31,49470000.0,2019-12-31,33532000.0,2019-12-31,-100000.0
0,VREX,2020-10-02,-3300000,2020-10-02,1139500000.0,2020-10-02,451700000.0,2020-10-02,
1,VREX,2020-07-03,-22600000,2020-07-03,1121700000.0,2020-07-03,467100000.0,2020-07-03,
2,VREX,2020-04-03,3100000,2020-04-03,1082000000.0,2020-04-03,451100000.0,2020-04-03,-1800000.0
3,VREX,2020-01-03,5400000,2020-01-03,1068400000.0,2020-01-03,447900000.0,2020-01-03,-1800000.0
0,IRBT,2020-09-26,80994000,2020-09-26,1116820000.0,2020-09-26,781914000.0,2020-09-26,-29000.0
1,IRBT,2020-06-27,71983000,2020-06-27,920768000.0,2020-06-27,682062000.0,2020-06-27,-29000.0
2,IRBT,2020-03-28,-20225000,2020-03-28,820033000.0,2020-03-28,616539000.0,2020-03-28,-26816000.0
3,IRBT,2019-12-28,16550000,2019-12-28,920753000.0,2019-12-28,652069000.0,2019-12-28,-26816000.0
0,CTG,2020-09-25,1824000,2020-09-25,171668000.0,2020-09-25,75704000.0,2020-09-25,
1,CTG,2020-06-26,1914000,2020-06-26,173298000.0,2020-06-26,70196000.0,2020-06-26,-79000.0
